"Date","Metro Average","Regional Average","Metro Unknown","Regional Unknown"
"08/11/2020","0.4","0","2","0"
"07/11/2020","0.9","0","2","0"
"06/11/2020","1.3","0","2","0"
"05/11/2020","1.4","0","2","0"
"04/11/2020","1.7","0","2","0"
"03/11/2020","1.9","0","2","0"
"02/11/2020","1.9","0","1","0"
"01/11/2020","2.2","0","1","0"
"31/10/2020","2.4","0","2","0"
"30/10/2020","2.6","0","2","0"
"29/10/2020","2.4","0","4","0"
"28/10/2020","2.7","0","3","0"
"27/10/2020","2.8","0.2","6","0"
"26/10/2020","3.6","0.2","7","0"
"25/10/2020","4.6","0.2","9","0"
"24/10/2020","5","0.2","10","0"
"23/10/2020","5.5","0.3","10","0"
"22/10/2020","6.1","0.4","10","0"
"21/10/2020","6.2","0.4","10","0"
"20/10/2020","6.4","0.4","13","0"
"19/10/2020","7.2","0.5","15","0"
"18/10/2020","7.5","0.5","15","0"
"17/10/2020","8.1","0.5","17","0"
"16/10/2020","8.7","0.6","17","0"
"15/10/2020","8.9","0.6","15","0"
"14/10/2020","9.6","0.6","14","0"
"13/10/2020","10","0.4","13","0"
"12/10/2020","9.9","0.4","11","0"
"11/10/2020","9.3","0.4","10","0"
"10/10/2020","9.4","0.4","10","0"
"09/10/2020","9.4","0.4","12","0"
"08/10/2020","9.7","0.4","14","0"
"07/10/2020","9.9","0.3","12","0"
"06/10/2020","10.6","0.3","13","0"
"05/10/2020","11.6","0.3","13","0"
"04/10/2020","11.9","0.2","13","0"
"03/10/2020","12","0.1","11","0"
"02/10/2020","12.8","0.2","14","0"
"01/10/2020","15.6","0.3","19","0"
"30/09/2020","16.4","0.3","21","0"
"29/09/2020","18.2","0.6","27","0"
"28/09/2020","20.3","0.6","31","0"
"27/09/2020","22.1","0.6","31","0"
"26/09/2020","23.6","0.8","31","0"
"25/09/2020","25.1","0.8","34","0"
"24/09/2020","26.7","1.1","37","0"
"23/09/2020","29.4","1.1","41","0"
"22/09/2020","32.8","1.6","45","0"
"21/09/2020","34.4","1.6","47","0"
"20/09/2020","36.2","1.8","52","0"
"19/09/2020","39.3","1.9","64","0"
"18/09/2020","42.7","2.3","73","0"
"17/09/2020","44.4","2.9","83","1"
"16/09/2020","49.6","3.5","81","1"
"15/09/2020","52.9","3.6","89","2"
"14/09/2020","54.4","3.9","94","3"
"13/09/2020","56.9","4.1","99","5"
"12/09/2020","61.6","4.3","115","7"
"11/09/2020","65.3","4.7","134","7"
"10/09/2020","70.1","4.5","154","8"
"09/09/2020","70.1","4.5"
"08/09/2020","74.1","5"
"07/09/2020","79.5","4.9"
"06/09/2020","85.6","5.3"
"05/09/2020","90.4","5.5"
"04/09/2020","99.9","5.9"
"03/09/2020","107","6"
"02/09/2020","113.2","6.2"
"01/09/2020","120.8","7.3"
"31/08/2020","129.1","7.5"
"30/08/2020","139.2","8.1"
"29/08/2020","152.1","9.1"
"28/08/2020","162.6","9.7"
"27/08/2020","176.6","10.7"
"26/08/2020","192.6","12.5"
"25/08/2020","201.9","13.5"
"24/08/2020","218.5","15.3"
"23/08/2020","230.1","16.6"
"22/08/2020","243.4","17.7"
"21/08/2020","254.4","19"
"20/08/2020","272.6","20.9"
"19/08/2020","288.6","22.9"
"18/08/2020","303.3","23.8"
"17/08/2020","335.1","26"
"16/08/2020","347.9","26.5"
"15/08/2020","352.9","27.8"
"14/08/2020","375.1","29.5"
"13/08/2020","378.8","30.4"
"12/08/2020","392.1","30.5"
"11/08/2020","417.8","31.3"
"10/08/2020","410.1","30.1"
"09/08/2020","412.9","29.9"
"08/08/2020","426.8","29.2"
"07/08/2020","430.6","28.2"
"06/08/2020","423.6","26.6"
"05/08/2020","415.7","25.1"
"04/08/2020","411.4","24.1"
"03/08/2020","395.9","22"
"02/08/2020","391.3","22.1"
"01/08/2020","386.5","20.6"
"31/07/2020","369.7","18.6"
"30/07/2020","360.2","17.2"
"29/07/2020","350.1","15.5"
"28/07/2020","328.2","13.6"
"27/07/2020","325.1","12.9"
"26/07/2020","318.4","11.8"
"25/07/2020","295.6","11.2"
"24/07/2020","285","10.8"
"23/07/2020","282","10.4"
"22/07/2020","272.7","9.4"
"21/07/2020","258.1","8.1"
"20/07/2020","236.1","7.7"
"19/07/2020","225.4","6.1"
"18/07/2020","214.4","5.3"
"17/07/2020","195.9","4.5"
"16/07/2020","188.7","3.7"
"15/07/2020","166.4","3.4"
"14/07/2020","151","3.1"